GENESIS-Tabelle: 61511-111r
Bauland: Gemeinden, Veräußerungsfälle, veräußerte Fläche,;;;;;;;;;;;;;;;;;
Kaufpreis, durchschnittliche Kaufwerte (EUR/qm),;;;;;;;;;;;;;;;;;
Baulandarten, Jahr (ab 2010);;;;;;;;;;;;;;;;;
Statistik der Kaufwerte für Bauland;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;
;;Veräußerungsfälle;;Veräußerungsfälle;;Veräußerte Fläche;;Veräußerte Fläche;;Verkaufspreis;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;
;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;;Bauland insgesamt;;baureifes Land;
;;Anzahl;;Anzahl;;1000 qm;;1000 qm;;Tsd. EUR;;Tsd. EUR;;EUR/qm;;EUR/qm;
09;Bayern;23557;e;19828;e;32992;e;18762;e;7055189;e;5911203;e;213,84;e;315,07;e
091;  Oberbayern;5573;e;4693;e;7416;e;4581;e;4529541;e;3881877;e;610,77;e;847,34;e
09161;    Ingolstadt (Krfr.St);140;e;133;e;142;e;125;e;71238;e;67601;e;502,64;e;539,97;e
09162;    München, Landeshauptstadt;655;e;612;e;880;e;687;e;2229724;e;1880787;e;2532,57;e;2737,76;e
09163;    Rosenheim (Krfr.St);51;e;40;e;68;e;60;e;46383;e;44938;e;682,23;e;749,43;e
09171;    Altötting (Lkr);244;e;209;e;295;e;191;e;26876;e;22529;e;91,03;e;117,75;e
09171111;      Altötting, St;7;e;6;e;3;e;3;e;765;e;.;.;219,03;e;.;.
09171112;      Burghausen, St;11;e;6;e;16;e;7;e;1987;e;1537;e;120,43;e;210,86;e
09171113;      Burgkirchen a.d.Alz;54;e;42;e;75;e;47;e;6705;e;5312;e;89,78;e;113,89;e
09171114;      Emmerting;6;e;6;e;4;e;4;e;569;e;569;e;131,77;e;131,77;e
09171115;      Erlbach;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;10;e;10;e;7;e;7;e;582;e;582;e;80,83;e;80,83;e
09171117;      Garching a.d.Alz;16;e;16;e;11;e;11;e;1326;e;1326;e;118,38;e;118,38;e
09171118;      Haiming;14;e;13;e;11;e;11;e;1203;e;.;.;111,67;e;.;.
09171119;      Halsbach;15;e;15;e;12;e;12;e;1197;e;1197;e;101,51;e;101,51;e
09171121;      Kastl;11;e;5;e;44;e;4;e;1792;e;444;e;40,96;e;110,48;e
09171122;      Kirchweidach;10;e;10;e;13;e;13;e;1001;e;1001;e;78,90;e;78,90;e
09171123;      Marktl, M;2;e;1;e;7;e;1;e;.;.;.;.;.;.;.;.
09171124;      Mehring;5;e;5;e;3;e;3;e;446;e;446;e;132,31;e;132,31;e
09171125;      Neuötting, St;15;e;14;e;14;e;13;e;1847;e;.;.;135,92;e;.;.
09171126;      Perach;2;e;1;e;4;e;1;e;.;.;.;.;.;.;.;.
09171127;      Pleiskirchen;3;e;2;e;3;e;2;e;194;e;.;.;69,66;e;.;.
09171129;      Reischach;4;e;4;e;3;e;3;e;333;e;333;e;103,87;e;103,87;e
09171130;      Stammham;2;e;2;e;2;e;2;e;.;.;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09171132;      Töging a.Inn, St;4;e;3;e;7;e;7;e;931;e;.;.;127,10;e;.;.
09171133;      Tüßling, M;12;e;10;e;10;e;9;e;925;e;.;.;95,41;e;.;.
09171134;      Tyrlaching;17;e;17;e;12;e;12;e;1001;e;1001;e;82,55;e;82,55;e
09171135;      Unterneukirchen;11;e;11;e;10;e;10;e;1340;e;1340;e;134,04;e;134,04;e
09171137;      Winhöring;12;e;9;e;23;e;8;e;1893;e;1258;e;83,50;e;164,37;e
09172;    Berchtesgadener Land (Lkr);107;e;88;e;243;e;178;e;45879;e;39095;e;188,59;e;219,54;e
09172111;      Ainring;14;e;14;e;9;e;9;e;1731;e;1731;e;201,54;e;201,54;e
09172112;      Anger;3;e;3;e;2;e;2;e;210;e;210;e;117,45;e;117,45;e
09172114;      Bad Reichenhall, GKSt;16;e;13;e;79;e;69;e;18405;e;17353;e;233,50;e;252,61;e
09172115;      Bayerisch Gmain;4;e;4;e;9;e;9;e;3701;e;3701;e;427,34;e;427,34;e
09172116;      Berchtesgaden, M;8;e;8;e;5;e;5;e;1580;e;1580;e;305,30;e;305,30;e
09172117;      Bischofswiesen;7;e;1;e;13;e;1;e;1394;e;.;.;107,46;e;.;.
09172118;      Freilassing, St;17;e;15;e;29;e;17;e;10176;e;.;.;350,95;e;.;.
09172122;      Laufen, St;4;e;4;e;5;e;5;e;1236;e;1236;e;274,02;e;274,02;e
09172124;      Marktschellenberg, M;1;e;1;e;43;e;43;e;.;.;.;.;.;.;.;.
09172128;      Piding;9;e;9;e;8;e;8;e;2284;e;2284;e;271,46;e;271,46;e
09172129;      Ramsau b.Berchtesgaden;1;e;1;e;0;e;0;e;.;.;.;.;.;.;.;.
09172130;      Saaldorf-Surheim;8;e;5;e;25;e;4;e;2132;e;307;e;83,87;e;85,00;e
09172131;      Schneizlreuth;2;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09172132;      Schönau a.Königssee;4;e;3;e;5;e;4;e;962;e;.;.;213,57;e;.;.
09172134;      Teisendorf, M;9;e;6;e;11;e;3;e;825;e;552;e;74,61;e;176,55;e
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);95;e;80;e;120;e;71;e;57061;e;50133;e;474,03;e;701,61;e
09173111;      Bad Heilbrunn;9;e;6;e;8;e;3;e;2019;e;1294;e;261,57;e;425,44;e
09173112;      Bad Tölz, St;6;e;4;e;23;e;5;e;4595;e;.;.;198,48;e;.;.
09173113;      Benediktbeuern;2;e;1;e;2;e;1;e;.;.;.;.;.;.;.;.
09173115;      Bichl;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09173118;      Dietramszell;3;e;3;e;1;e;1;e;237;e;237;e;227,90;e;227,90;e
09173120;      Egling;1;e;1;e;2;e;2;e;.;.;.;.;.;.;.;.
09173123;      Eurasburg;3;e;3;e;2;e;2;e;1141;e;1141;e;651,72;e;651,72;e
09173124;      Gaißach;2;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09173126;      Geretsried, St;11;e;6;e;27;e;5;e;7652;e;4832;e;281,00;e;884,64;e
09173127;      Greiling;4;e;4;e;4;e;4;e;1332;e;1332;e;308,09;e;308,09;e
09173130;      Icking;3;e;3;e;6;e;6;e;6015;e;6015;e;962,78;e;962,78;e
09173131;      Jachenau;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09173133;      Kochel a.See;6;e;6;e;3;e;3;e;988;e;988;e;335,76;e;335,76;e
09173134;      Königsdorf;4;e;3;e;5;e;3;e;1949;e;.;.;427,27;e;.;.
09173135;      Lenggries;9;e;7;e;8;e;6;e;4350;e;.;.;544,88;e;.;.
09173137;      Münsing;14;e;14;e;12;e;12;e;11395;e;11395;e;937,64;e;937,64;e
09173140;      Reichersbeuern;1;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09173141;      Sachsenkam;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09173142;      Schlehdorf;6;e;6;e;2;e;2;e;1292;e;1292;e;550,40;e;550,40;e
09173145;      Wackersberg;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09173147;      Wolfratshausen, St;9;e;9;e;12;e;12;e;9711;e;9711;e;781,98;e;781,98;e
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09174;    Dachau (Lkr);191;e;143;e;327;e;112;e;146325;e;109113;e;447,19;e;977,41;e
09174111;      Altomünster, M;9;e;6;e;11;e;3;e;2256;e;1573;e;200,48;e;481,48;e
09174113;      Bergkirchen;14;e;8;e;16;e;6;e;6234;e;4173;e;380,58;e;724,77;e
09174115;      Dachau, GKSt;36;e;32;e;67;e;38;e;58219;e;52659;e;866,68;e;1375,55;e
09174118;      Erdweg;5;e;5;e;3;e;3;e;1089;e;1089;e;383,73;e;383,73;e
09174121;      Haimhausen;21;e;15;e;11;e;6;e;4803;e;4744;e;432,35;e;758,44;e
09174122;      Hebertshausen;8;e;8;e;7;e;7;e;4673;e;4673;e;652,66;e;652,66;e
09174126;      Karlsfeld;22;e;20;e;11;e;10;e;18203;e;.;.;1587,87;e;.;.
09174131;      Markt Indersdorf, M;20;e;15;e;32;e;10;e;11219;e;7948;e;348,21;e;794,19;e
09174135;      Odelzhausen;15;e;8;e;101;e;9;e;21534;e;3904;e;213,86;e;430,60;e
09174136;      Petershausen;10;e;5;e;13;e;2;e;2477;e;811;e;190,87;e;372,07;e
09174137;      Pfaffenhofen a.d.Glonn;2;e;1;e;1;e;1;e;.;.;.;.;.;.;.;.
09174141;      Röhrmoos;5;e;5;e;5;e;5;e;2497;e;2497;e;469,46;e;469,46;e
09174143;      Schwabhausen;10;e;9;e;8;e;6;e;5172;e;.;.;660,22;e;.;.
09174146;      Sulzemoos;8;e;2;e;29;e;1;e;5455;e;.;.;188,70;e;.;.
09174147;      Hilgertshausen-Tandern;1;e;1;e;2;e;2;e;.;.;.;.;.;.;.;.
09174150;      Vierkirchen;3;e;2;e;4;e;1;e;1285;e;.;.;327,36;e;.;.
09174151;      Weichs;2;e;1;e;5;e;0;e;.;.;.;.;.;.;.;.
09175;    Ebersberg (Lkr);151;e;126;e;159;e;100;e;95004;e;82283;e;596,09;e;826,12;e
09175111;      Anzing;3;e;2;e;3;e;1;e;1589;e;.;.;620,38;e;.;.
09175112;      Aßling;4;e;4;e;2;e;2;e;453;e;453;e;238,37;e;238,37;e
09175113;      Baiern;4;e;4;e;2;e;2;e;809;e;809;e;330,00;e;330,00;e
09175114;      Bruck;4;e;3;e;1;e;1;e;664;e;.;.;448,43;e;.;.
09175115;      Ebersberg, St;9;e;7;e;19;e;6;e;8058;e;.;.;418,37;e;.;.
09175116;      Egmating;1;e;1;e;0;e;0;e;.;.;.;.;.;.;.;.
09175118;      Forstinning;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09175119;      Frauenneuharting;2;e;1;e;0;e;0;e;.;.;.;.;.;.;.;.
09175121;      Glonn, M;3;e;2;e;2;e;2;e;584;e;.;.;329,62;e;.;.
09175122;      Grafing b.München, St;29;e;24;e;19;e;12;e;8771;e;7954;e;458,28;e;682,77;e
09175123;      Hohenlinden;6;e;5;e;9;e;4;e;2994;e;.;.;318,51;e;.;.
09175124;      Kirchseeon, M;7;e;6;e;12;e;11;e;4472;e;.;.;379,68;e;.;.
09175127;      Markt Schwaben, M;9;e;6;e;11;e;3;e;5413;e;3415;e;514,79;e;976,12;e
09175128;      Moosach;4;e;1;e;5;e;0;e;295;e;.;.;57,72;e;.;.
09175131;      Oberpframmern;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09175132;      Vaterstetten;25;e;22;e;42;e;27;e;35762;e;30673;e;844,68;e;1134,44;e
09175133;      Pliening;8;e;8;e;6;e;6;e;5717;e;5717;e;880,36;e;880,36;e
09175135;      Poing;2;e;2;e;1;e;1;e;.;.;.;.;.;.;.;.
09175136;      Emmering;2;e;2;e;4;e;4;e;.;.;.;.;.;.;.;.
09175137;      Steinhöring;6;e;3;e;5;e;2;e;902;e;461;e;186,83;e;275,91;e
09175139;      Zorneding;19;e;19;e;12;e;12;e;14475;e;14475;e;1209,29;e;1209,29;e
09175444;      Gemeindefreie Gebiete;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09176;    Eichstätt (Lkr);404;e;348;e;493;e;266;e;85379;e;63675;e;173,02;e;239,75;e
09176111;      Adelschlag;7;e;4;e;10;e;3;e;1235;e;850;e;122,62;e;259,62;e
09176112;      Altmannstein, M;30;e;30;e;22;e;22;e;2676;e;2676;e;120,42;e;120,42;e
09176114;      Beilngries, St;46;e;36;e;42;e;26;e;6734;e;6476;e;160,58;e;244,40;e
09176116;      Böhmfeld;1;e;1;e;2;e;2;e;.;.;.;.;.;.;.;.
09176118;      Buxheim;5;e;5;e;4;e;4;e;1495;e;1495;e;355,11;e;355,11;e
09176120;      Denkendorf;16;e;15;e;17;e;11;e;2057;e;.;.;120,19;e;.;.
09176121;      Dollnstein, M;9;e;7;e;10;e;4;e;500;e;.;.;51,04;e;.;.
09176122;      Egweil;1;e;1;e;0;e;0;e;.;.;.;.;.;.;.;.
09176123;      Eichstätt, GKSt;5;e;4;e;18;e;3;e;1197;e;.;.;67,03;e;.;.
09176124;      Eitensheim;6;e;2;e;8;e;1;e;1888;e;.;.;227,07;e;.;.
09176126;      Gaimersheim, M;10;e;9;e;15;e;7;e;6612;e;.;.;428,99;e;.;.
09176129;      Großmehring;36;e;17;e;139;e;18;e;21603;e;6195;e;155,92;e;353,15;e
09176131;      Hepberg;3;e;3;e;2;e;2;e;1325;e;1325;e;559,07;e;559,07;e
09176132;      Hitzhofen;10;e;10;e;6;e;6;e;1282;e;1282;e;208,48;e;208,48;e
09176137;      Kinding, M;9;e;8;e;9;e;5;e;1007;e;.;.;110,97;e;.;.
