"na_na","na_na2","na_na3","stichtag_31.12.1995","stichtag_31.12.1996","stichtag_31.12.1997","stichtag_31.12.1998","stichtag_31.12.1999","stichtag_31.12.2000","stichtag_31.12.2001","stichtag_31.12.2002","stichtag_31.12.2003","stichtag_31.12.2004","stichtag_31.12.2005","stichtag_31.12.2006","stichtag_31.12.2007","stichtag_31.12.2008","stichtag_31.12.2009","stichtag_31.12.2010","stichtag_31.12.2011","stichtag_31.12.2012","stichtag_31.12.2013","stichtag_31.12.2014","stichtag_31.12.2015","stichtag_31.12.2016"
"Baden-Württemberg","Gebietsfläche","qkm",35752.5,35751.76,35751.85,35751.63,35751.36,35751.36,35751.64,35751.64,35751.65,35751.64,35751.65,35751.5,35751.4,35751.48,35751.45,35751.48,35751.41,35676.79,35676.74,35676.77,35676.76,35673.71
"Bayern","Gebietsfläche","qkm",70550.87,70550.87,70548,70547.96,70547.81,70547.85,70549.93,70549.32,70549.19,70549.44,70551.57,70551.57,70551.56,70551.58,70549.97,70550.11,70550.19,70550.23,70550.19,70550.11,70550.07,70542.03
"Berlin","Gebietsfläche","qkm",890.82,890.85,890.77,890.22,891.41,891.69,891.76,891.75,891.75,891.82,891.85,891.02,891.02,891.54,891.54,887.7,891.75,891.7,891.68,891.69,891.68,891.12
"Brandenburg","Gebietsfläche","qkm",29478.73,29475.72,29475.84,29476.36,29476.77,29477.02,29476.16,29476.67,29477.16,29478.14,29478.61,29479.73,29480.33,29480.97,29481.95,29483.13,29483.98,29485.63,29654.16,29654.34,29654.36,29654.38
"Bremen","Gebietsfläche","qkm",404.23,404.23,404.23,404.23,404.23,404.23,404.23,404.28,404.23,404.23,404.28,404.28,404.28,404.28,404.28,419.24,419.24,419.38,419.38,419.38,419.84,419.84
"Hamburg","Gebietsfläche","qkm",755.2,755.2,755.2,755.33,755.33,755.32,755.16,755.26,755.16,755.24,755.16,755.16,755.25,755.16,755.16,755.16,755.3,755.33,755.22,755.22,755.22,755.09
"Hessen","Gebietsfläche","qkm",21114.45,21114.45,21114.82,21114.82,21114.38,21114.38,21114.19,21114.88,21114.72,21114.79,21114.79,21114.69,21114.77,21114.75,21114.91,21114.91,21114.76,21114.92,21114.93,21114.9,21114.99,21115.67
"Mecklenburg-Vorpommern","Gebietsfläche","qkm",23170.34,23170.24,23170.31,23171.04,23171.45,23172.52,23172.96,23173.46,23174.17,23178.53,23180.14,23182.38,23185.4,23186.29,23188.98,23190.76,23194.18,23209.55,23211.05,23212.7,23212.74,23292.73
"Niedersachsen","Gebietsfläche","qkm",47610.55,47612.24,47613.35,47613.51,47614.27,47615.7,47616.48,47617.97,47618.24,47619.63,47624.2,47641.1,47625.43,47626.6,47634.98,47612.88,47613.6,47613.78,47614.07,47614.82,47615.85,47709.83
"Nordrhein-Westfalen","Gebietsfläche","qkm",34077.7,34077.7,34078.68,34079.86,34080.01,34081.37,34081.87,34082.76,34083.52,34084.08,34085.29,34085.97,34086.48,34088.43,34088.01,34092.25,34097.72,34109.7,34110.26,34110.4,34112.52,34112.74
"Rheinland-Pfalz","Gebietsfläche","qkm",19846.5,19846.5,19846.86,19846.86,19847.11,19846.99,19846.74,19846.91,19847.39,19853.48,19853.36,19853.4,19853.24,19853.7,19853.58,19854.06,19854.13,19854.1,19854.21,19854.36,19854.46,19858
"Saarland","Gebietsfläche","qkm",2570.15,2570.15,2570.1,2570.19,2570.14,2568.51,2568.45,2568.53,2568.65,2568.69,2568.7,2568.65,2568.64,2568.65,2568.66,2568.75,2568.73,2568.7,2568.69,2568.73,2568.73,2571.1
"Sachsen","Gebietsfläche","qkm",18412.66,18412.71,18412.16,18412.83,18412.88,18413.02,18413.3,18413.29,18413.91,18414.7,18415.51,18417.1,18418.04,18419.48,18419.7,18419.71,18419.83,18420.01,18420.15,18420.25,18449.39,18449.99
"Sachsen-Anhalt","Gebietsfläche","qkm",20445.99,20447.46,20446.56,20446.83,20446.74,20446.49,20446.69,20444.72,20445.26,20445.73,20446.31,20446.57,20447.05,20447.64,20448.86,20449.54,20450.29,20450.64,20451.58,20451.68,20451.74,20452.14
"Schleswig-Holstein","Gebietsfläche","qkm",15770.5,15770.47,15770.49,15768.8,15764.48,15763.11,15761.4,15762.9,15763.18,15763.42,15799.38,15798.99,15799.08,15799.22,15799.07,15799.25,15799.57,15799.64,15799.65,15802.5,15802.51,15802.27
"Thüringen","Gebietsfläche","qkm",16171.12,16170.88,16171.57,16171.7,16171.85,16171.98,16171.94,16172.21,16172.14,16172.08,16172.1,16172.14,16172.1,16172.14,16172.41,16172.5,16172.5,16172.46,16172.56,16202.14,16202.38,16202.37
